,name,code
237,Estudios Culturales,col_20.500.12404_1167
238,Estudios de Género,col_20.500.12404_4829
239,Estudios Psicoanalíticos,col_20.500.12404_16478
240,Estudios Teóricos en Psicoanálisis,col_20.500.12404_758
241,Filosofía (Dr.),col_20.500.12404_1310
242,Filosofía (Lic.),col_20.500.12404_27
243,Filosofía (Mag.),col_20.500.12404_759
244,Finanzas,col_20.500.12404_16539
245,Finanzas Corporativas y Riesgo Financiero,col_20.500.12404_7539
246,Física Aplicada,col_20.500.12404_761
247,Física (Dr.),col_20.500.12404_6344
248,Física (Lic.),col_20.500.12404_10
249,Física (Mag.),col_20.500.12404_760
250,Fonoaudiología,col_20.500.12404_916
251,"Fonoaudiología con mención en Motricidad Orofacial, Voz y Tartamudez",col_20.500.12404_5844
252,Fonoaudiología con mención en Trastornos del Lenguaje en Niños y Adolescentes,col_20.500.12404_5843
253,Geografía y Medio Ambiente,col_20.500.12404_30
254,Gerencia del Desarrollo Competitivo Regional,col_20.500.12404_16501
255,Gerencia de Tecnologías de Información,col_20.500.12404_15123
256,Gerencia Social,col_20.500.12404_762
257,Gerencia Social con mención en Gerencia de la Participación Ciudadana,col_20.500.12404_21033
258,Gerencia Social con mención en Gerencia de la Participación Comunitaria,col_20.500.12404_15426
259,Gerencia Social con mención en Gerencia Del Desarrollo Económico Local,col_20.500.12404_15832
260,Gerencia Social con mención en Gerencia de Prevención y Mitigación de Riesgos de Desastres,col_20.500.12404_16502
261,Gerencia Social con mención en Gerencia de Programas y Proyectos de Desarrollo,col_20.500.12404_15468
262,Gestión,col_20.500.12404_16464
263,Gestión con mención en Gestión de Instituciones de Educación Superior,col_20.500.12404_9461
264,Gestión con mención en Gestión Empresarial (Lic.),col_20.500.12404_1280
265,Gestión con mención en Gestión Pública (Lic.),col_20.500.12404_1279
266,Gestión con mención en Gestión Social (Lic.),col_20.500.12404_878
267,Gestión de la Ingeniería,col_20.500.12404_16503
268,Gestión de los Recursos Hídricos,col_20.500.12404_7148
269,Gestión de Políticas y Programas para el Desarrollo Infantil Temprano,col_20.500.12404_16507
270,Gestión Escolar con Liderazgo Pedagógico,col_20.500.12404_10251
271,"Gestión Estratégica con mención en Ciencias, Ingeniería y Tecnología",col_20.500.12404_16479
272,Gestión Estratégica con mención en Economía Aplicada y Finanzas,col_20.500.12404_16480
273,Gestión Estratégica con mención en Gestión Empresarial y Sostenibilidad,col_20.500.12404_15270
274,Gestión Estratégica con mención en Innovación y Gestión en Educación Superior,col_20.500.12404_16481
275,Gestión Estratégica de Talento,col_20.500.12404_15122
276,Gestión y Dirección de Empresas Constructoras e Inmobiliarias,col_20.500.12404_1224
